 [DEBUG] 2019-02-27 15:54:09,899 [28] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-02-27 16:02:17,743 [37] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:02:17,760 [28] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:02:17,760 [28] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-02-27 16:03:15,288 [37] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:15,298 [32] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:15,314 [45] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:15,317 [40] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:15,317 [40] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-02-27 16:03:35,546 [45] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:35,553 [37] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:35,553 [37] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code asdasd
 [DEBUG] 2019-02-27 16:03:36,507 [37] MAuthAPI.Controllers.AuthorizationController - Validate - Status Invalid
 [DEBUG] 2019-02-27 16:03:52,612 [32] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 16:03:52,665 [28] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
